ts_local	level	event	strip_name	device_id	channel	message
2026-07-09 13:51:09	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:52:13	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:52:18	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:53:19	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:53:24	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:54:25	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:54:30	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:55:31	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:55:33	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:56:36	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:57:41	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:58:45	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:58:47	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:59:53	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:00:07	INFO	strip_plan	ps1	206ef102c9d8		slot=2026-07-09 14:00; target_strip_w=350; states=[1,1,0,0]
2026-07-09 14:00:07	INFO	strip_plan	ps2	98a3167b6a8c		slot=2026-07-09 14:00; target_strip_w=0; states=[0,0,0,0]
2026-07-09 14:00:07	INFO	strip_plan	ps3	98a3166b6128		slot=2026-07-09 14:00; target_strip_w=0; states=[0,0,0,0]
2026-07-09 14:00:07	INFO	load_change				LOAD CHANGE slot=2026-07-09 14:00 target=350W nominal=350W overshoot=0W states: ps1=[1,1,0,0]; ps2=[0,0,0,0]; ps3=[0,0,0,0]
2026-07-09 14:00:07	INFO	reconcile	ps1	206ef102c9d8	1	actual=off; desired=on
2026-07-09 14:00:10	INFO	send	ps1	206ef102c9d8	1	turn=on
2026-07-09 14:00:56	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:02:00	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:03:04	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:04:08	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:04:10	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:05:17	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:06:21	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:06:26	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:07:27	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:07:32	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:08:33	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:08:35	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:09:38	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:10:42	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:11:46	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:12:50	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:13:54	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:13:56	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:15:02	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:15:10	INFO	strip_plan	ps1	206ef102c9d8		slot=2026-07-09 14:15; target_strip_w=350; states=[1,1,0,0]
