device_status	date	time	battery_voltage_V	pv1_voltage_V	pv2_voltage_V	SOC	capacity_Ah	total_charge_discharge_battery_A	pv1_current_A	pv2_current_A	module_current_A	total_batt_current_A	load_current_A	total_batt_discharge_current_A	temperature_C	error	charging_mode	AUX1	AUX2	AUX3	energy_input_24h_Ah	energy_input_tot_Ah	energy_output_24h_Ah	energy_output_tot_Ah	derating_Ah	checksum	pv1_power_W	pv2_power_W	pv_power_total_W
1	2026/09/02	16:24	48.6	63.6	63.2	#	#	55.4	14.1	14.2	#	26.9	#	26.9	24.2	0	B	1	1	0	167	4453	167	4267	0	E511	896.76	897.44	1794.2
1	2026/09/02	16:25	48.1	62.9	62.6	#	#	57.9	12.9	12.8	#	28.3	#	28.3	24.2	0	B	1	1	0	167	4453	167	4267	0	8ED5	811.41	801.28	1612.69
1	2026/09/02	16:26	50.0	65.4	64.9	#	#	55.5	12.0	12.0	#	27.0	#	27.0	24.2	0	B	1	0	0	168	4454	168	4268	0	EFA1	784.8	778.8	1563.6
1	2026/09/02	16:27	48.7	65.6	63.9	#	#	53.7	11.0	11.3	#	26.1	#	26.1	24.2	0	B	1	1	0	168	4454	168	4268	0	4F34	721.6	722.07	1443.67
1	2026/09/02	16:28	50.1	65.6	65.4	#	#	46.7	5.5	5.3	#	22.6	#	22.6	24.2	0	B	1	1	0	169	4455	169	4269	0	7B39	360.8	346.62	707.42
1	2026/09/02	16:29	50.6	66.0	65.6	#	#	43.0	9.0	9.0	#	20.9	#	20.9	24.2	0	B	1	1	0	169	4455	169	4269	0	193D	594	590.4	1184.4
1	2026/09/02	16:30	48.1	64.1	62.7	#	#	24.2	10.9	11.0	#	12.2	#	12.2	24.2	0	B	1	1	0	169	4455	169	4269	0	5118	698.69	689.7	1388.39
1	2026/09/02	16:31	50.2	65.7	65.3	#	#	40.7	9.7	9.7	#	20.0	#	20.0	24.2	0	B	1	1	0	170	4456	170	4270	0	D980	637.29	633.41	1270.7
1	2026/09/02	16:32	48.0	64.0	62.5	#	#	41.3	10.5	10.6	#	20.0	#	20.0	24.2	0	B	1	1	0	170	4456	170	4270	0	2998	672	662.5	1334.5
1	2026/09/02	16:33	49.7	65.2	65.9	#	#	41.3	10.9	10.6	#	20.2	#	20.2	24.2	0	B	1	1	0	170	4456	170	4270	0	6E16	710.68	698.54	1409.22
1	2026/09/02	16:34	48.1	62.8	62.6	#	#	41.9	12.4	12.4	#	20.4	#	20.4	24.2	0	B	1	1	0	171	4457	171	4271	0	19FD	778.72	776.24	1554.96
1	2026/09/02	16:35	50.3	65.5	65.4	#	#	47.6	12.1	12.0	#	23.4	#	23.4	24.2	0	B	1	0	0	171	4457	171	4271	0	7980	792.55	784.8	1577.35
1	2026/09/02	16:36	48.6	63.6	63.2	#	#	51.5	13.2	13.2	#	25.1	#	25.1	24.2	0	B	1	1	0	171	4457	171	4271	0	92E7	839.52	834.24	1673.76
1	2026/09/02	16:37	48.1	62.8	62.6	#	#	50.4	13.5	13.6	#	24.7	#	24.7	24.2	0	B	1	1	0	172	4458	172	4272	0	7A24	847.8	851.36	1699.16
1	2026/09/02	16:38	50.7	66.2	65.8	#	#	54.6	12.7	12.6	#	26.7	#	26.7	24.2	0	B	1	1	0	172	4458	172	4272	0	A1D4	840.74	829.08	1669.82
1	2026/09/02	16:39	49.3	64.2	64.1	#	#	53.3	13.6	13.6	#	26.0	#	26.0	24.2	0	B	1	1	0	173	4459	173	4273	0	6055	873.12	871.76	1744.88
1	2026/09/02	16:40	49.1	64.2	65.1	#	#	54.2	13.6	13.4	#	26.5	#	26.5	24.2	0	B	1	1	0	173	4459	173	4273	0	5716	873.12	872.34	1745.46
1	2026/09/02	16:41	49.1	64.2	63.8	#	#	55.7	13.7	13.7	#	27.2	#	27.2	24.2	0	B	1	1	0	174	4460	174	4274	0	BB9F	879.54	874.06	1753.6
1	2026/09/02	16:42	48.1	62.9	62.5	#	#	56.0	13.9	14.0	#	27.3	#	27.3	24.2	0	B	1	1	0	174	4460	174	4274	0	B1F6	874.31	875	1749.31
1	2026/09/02	16:43	50.4	65.9	66.1	#	#	57.1	12.8	12.5	#	27.9	#	27.9	24.2	0	B	1	1	0	174	4460	174	4274	0	7809	843.52	826.25	1669.77
1	2026/09/02	16:44	48.6	63.5	63.3	#	#	55.9	13.7	13.7	#	27.2	#	27.2	24.2	0	B	1	1	0	175	4461	175	4275	0	6AB4	869.95	867.21	1737.16
1	2026/09/02	16:45	48.1	62.7	62.4	#	#	52.7	14.0	14.0	#	25.8	#	25.8	24.2	0	B	1	1	0	175	4461	175	4275	0	4106	877.8	873.6	1751.4
1	2026/09/02	16:46	50.7	67.4	66.0	#	#	56.9	12.3	12.6	#	27.8	#	27.8	24.2	0	B	1	1	0	176	4462	176	4276	0	3DFD	829.02	831.6	1660.62
1	2026/09/02	16:47	48.2	63.0	62.7	#	#	55.6	13.8	13.8	#	26.9	#	26.9	24.2	0	B	1	1	0	176	4462	176	4276	0	40D2	869.4	865.26	1734.66
1	2026/09/02	16:48	50.9	66.4	66.0	#	#	55.1	12.4	12.3	#	27.0	#	27.0	24.2	0	B	1	1	0	177	4463	177	4277	0	4DB5	823.36	811.8	1635.16
1	2026/09/02	16:49	48.2	62.8	62.8	#	#	54.7	13.3	13.3	#	26.6	#	26.6	24.2	0	B	1	1	0	177	4463	177	4277	0	1DEE	835.24	835.24	1670.48
1	2026/09/02	16:50	50.8	66.2	66.3	#	#	52.7	11.6	11.4	#	25.8	#	25.8	24.2	0	B	1	1	0	178	4464	178	4278	0	AF14	767.92	755.82	1523.74
1	2026/09/02	16:51	48.7	63.7	63.4	#	#	51.3	12.3	12.3	#	24.8	#	24.8	24.2	0	B	1	1	0	178	4464	178	4278	0	8D9F	783.51	779.82	1563.33
1	2026/09/02	16:52	50.8	66.1	66.0	#	#	47.0	11.4	11.3	#	23.1	#	23.1	24.2	0	B	1	1	0	178	4464	178	4278	0	15A9	753.54	745.8	1499.34
1	2026/09/02	16:53	48.2	63.4	62.9	#	#	49.8	11.9	12.0	#	24.2	#	24.2	24.2	0	B	1	1	0	179	4465	179	4279	0	B1C9	754.46	754.8	1509.26
1	2026/09/02	16:54	50.5	66.2	65.8	#	#	47.5	10.7	10.7	#	23.2	#	23.2	24.2	0	B	1	1	0	179	4465	179	4279	0	3659	708.34	704.06	1412.4
1	2026/09/02	16:55	50.6	66.0	65.9	#	#	46.2	8.9	8.9	#	22.4	#	22.4	24.2	0	B	1	1	0	180	4466	180	4280	0	2129	587.4	586.51	1173.91
1	2026/09/02	16:56	49.5	62.7	64.4	#	#	37.8	9.6	9.6	#	18.2	#	18.2	24.2	0	B	1	0	0	180	4466	180	4280	0	7D4A	601.92	618.24	1220.16
1	2026/09/02	16:57	50.3	65.8	65.5	#	#	36.9	9.3	9.3	#	18.0	#	18.0	24.2	0	B	1	1	0	180	4466	180	4280	0	C100	611.94	609.15	1221.09
1	2026/09/02	16:58	48.9	63.8	63.6	#	#	37.7	9.9	9.9	#	18.3	#	18.3	24.2	0	B	1	1	0	180	4466	180	4280	0	3E74	631.62	629.64	1261.26
1	2026/09/02	16:59	48.6	63.5	63.3	#	#	39.8	10.5	10.6	#	19.5	#	19.5	24.2	0	B	1	1	0	181	4467	181	4281	0	BFAD	666.75	670.98	1337.73
1	2026/09/02	17:00	48.6	63.5	63.2	#	#	42.4	11.1	11.2	#	20.7	#	20.7	24.2	0	B	1	1	0	181	4467	181	4281	0	C2C2	704.85	707.84	1412.69
1	2026/09/02	17:01	48.6	63.4	63.2	#	#	44.3	11.4	11.5	#	21.7	#	21.7	24.2	0	B	1	1	0	182	4468	182	4282	0	AAA3	722.76	726.8	1449.56
1	2026/09/02	17:02	48.5	63.3	63.0	#	#	46.6	11.4	11.5	#	22.8	#	22.8	24.2	0	B	1	1	0	182	4468	182	4282	0	23A9	721.62	724.5	1446.12
1	2026/09/02	17:03	48.6	63.4	64.4	#	#	46.5	12.1	12.1	#	22.7	#	22.7	24.2	0	B	1	1	0	182	4468	182	4282	0	6E8C	767.14	779.24	1546.38
1	2026/09/02	17:04	50.7	66.1	65.9	#	#	48.5	11.4	11.4	#	23.7	#	23.7	24.2	0	B	1	1	0	183	4469	183	4283	0	807D	753.54	751.26	1504.8
1	2026/09/02	17:05	48.9	63.9	63.5	#	#	48.7	12.0	12.1	#	23.7	#	23.7	24.2	0	B	1	1	0	183	4469	183	4283	0	C9BD	766.8	768.35	1535.15
1	2026/09/02	17:06	48.7	63.8	63.4	#	#	48.5	12.4	12.5	#	23.7	#	23.7	24.2	0	B	1	1	0	183	4469	183	4283	0	F6ED	791.12	792.5	1583.62
1	2026/09/02	17:07	48.6	63.4	63.1	#	#	50.3	12.1	12.1	#	24.5	#	24.5	24.2	0	B	1	1	0	184	4470	184	4284	0	18DC	767.14	763.51	1530.65
1	2026/09/02	17:08	48.6	63.5	63.2	#	#	50.3	12.4	12.5	#	24.5	#	24.5	24.2	0	B	1	1	0	184	4470	184	4284	0	694A	787.4	790	1577.4
1	2026/09/02	17:09	48.5	63.3	63.1	#	#	50.2	11.8	11.9	#	24.5	#	24.5	24.2	0	B	1	1	0	185	4471	185	4285	0	72CB	746.94	750.89	1497.83
1	2026/09/02	17:10	49.2	64.0	64.1	#	#	50.1	11.9	11.9	#	24.4	#	24.4	24.2	0	B	1	0	0	185	4471	185	4285	0	1C9E	761.6	762.79	1524.39
1	2026/09/02	17:11	49.6	65.2	66.2	#	#	49.4	11.5	11.2	#	24.1	#	24.1	24.2	0	B	1	1	0	185	4471	185	4285	0	20B9	749.8	741.44	1491.24
1	2026/09/02	17:12	50.6	66.0	65.7	#	#	46.5	10.7	10.7	#	22.6	#	22.6	24.2	0	B	1	1	0	186	4472	186	4286	0	C4B6	706.2	702.99	1409.19
1	2026/09/02	17:13	48.4	63.2	63.3	#	#	47.3	11.5	11.6	#	23.0	#	23.0	24.2	0	B	1	1	0	186	4472	186	4286	0	6C9D	726.8	734.28	1461.08
1	2026/09/02	17:14	50.9	66.3	66.1	#	#	44.8	10.6	10.6	#	21.9	#	21.9	24.2	0	B	1	1	0	187	4473	187	4287	0	5C99	702.78	700.66	1403.44
1	2026/09/02	17:15	48.1	62.8	62.6	#	#	46.0	11.3	11.4	#	22.3	#	22.3	24.1	0	B	1	1	0	187	4473	187	4287	0	0242	709.64	713.64	1423.28
